,Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,2010 Population,Land-Sq-Mi,Density Per Sq Mile,contains_college
0,2472,Watertown,MA,42.371296,-71.18196,-5,1,"42.371296,-71.18196",32014,4.031000000000001,7941.949887999999,False
1,60651,Chicago,IL,41.901485,-87.74055,-6,1,"41.901485,-87.74055",64267,3.495,18388.268959999998,False
2,11703,North Babylon,NY,40.733398,-73.32257,-5,1,"40.733398,-73.32257",16415,3.114,5271.355170000001,False
3,2909,Providence,RI,41.8191,-71.44775,-5,1,"41.8191,-71.44775",43540,3.457,12594.73532,False
4,90038,Los Angeles,CA,34.089459000000005,-118.3285,-8,1,"34.089459,-118.3285",28917,1.5659999999999998,18465.51724,False
5,90063,Los Angeles,CA,34.045161,-118.1865,-8,1,"34.045161,-118.1865",55758,3.273,17035.74702,False
6,93701,Fresno,CA,36.749444,-119.78872,-8,1,"36.749444,-119.78872",12529,1.515,8269.966997,False
7,19134,Philadelphia,PA,39.991712,-75.11116,-5,1,"39.991712,-75.11116",60675,3.508,17296.18016,False
8,2169,Quincy,MA,42.250739,-70.99593,-5,1,"42.250739,-70.99593",55055,8.971,6136.99699,False
9,70005,Metairie,LA,29.999453000000003,-90.13398000000001,-6,1,"29.999453,-90.13398",24339,4.183,5818.551279,False
10,80202,Denver,CO,39.751585999999996,-104.99699,-7,1,"39.751586,-104.99699",10148,1.12,9060.714286,False
11,90301,Inglewood,CA,33.955913,-118.35868,-8,1,"33.955913,-118.35868",36568,2.478,14757.06215,True
12,58405,Jamestown,ND,46.913344,-98.69955300000001,-6,1,"46.913344,-98.699553",427,0.046,9282.608696,False
13,8406,Ventnor City,NJ,39.342299,-74.48192,-5,1,"39.342299,-74.48192",10650,1.984,5367.943547999999,False
14,60139,Glendale Heights,IL,41.920228,-88.07891,-6,1,"41.920228,-88.07891",34381,5.551,6193.6588,True
15,2126,Mattapan,MA,42.272098,-71.09425999999999,-5,1,"42.272098,-71.09426",25562,2.082,12277.61768,False
16,92114,San Diego,CA,32.706953999999996,-117.0542,-8,1,"32.706954,-117.0542",65433,8.238,7942.8259290000005,False
17,98144,Seattle,WA,47.585770000000004,-122.30081000000001,-8,1,"47.58577,-122.30081",26881,3.405,7894.566814,False
18,77046,Houston,TX,29.733181,-95.43131,-6,1,"29.733181,-95.43131",1196,0.11699999999999999,10222.22222,False
19,85225,Chandler,AZ,33.316349,-111.83063999999999,-7,0,"33.316349,-111.83064",69810,12.809000000000001,5450.074167,True
20,17010,Campbelltown,PA,40.280149,-76.5806,-5,1,"40.280149,-76.5806",182,0.034,5352.941175999999,False
21,94131,San Francisco,CA,37.741797,-122.4378,-8,1,"37.741797,-122.4378",26881,2.08,12923.557690000001,False
22,19115,Philadelphia,PA,40.09261,-75.04118000000001,-5,1,"40.09261,-75.04118",33207,5.614,5915.033844,False
23,8629,Trenton,NJ,40.219358,-74.73334,-5,1,"40.219358,-74.73334",12331,0.7959999999999999,15491.206030000001,False
24,92840,Garden Grove,CA,33.785166,-117.93406,-8,1,"33.785166,-117.93406",54083,5.2010000000000005,10398.5772,True
25,97233,Portland,OR,45.513242,-122.49985,-8,1,"45.513242,-122.49985",39367,4.52,8709.513273999999,False
26,14301,Niagara Falls,NY,43.096555,-79.03925,-5,1,"43.096555,-79.03925",12817,1.672,7665.669856,False
27,55408,Minneapolis,MN,44.947515,-93.28742,-6,1,"44.947515,-93.28742",29981,2.719,11026.48032,False
